prefix,빈도 기반_예측,빈도 기반_신뢰도(%),가중치 기반_예측,가중치 기반_신뢰도(%),시뮬레이션 승률(%)
bppppbpppb,p,53.21,p,50.78,-
bppbbpbppb,b,53.17,b,71.52,-
bppbbppbpb,p,53.17,p,58.92,-
pbpbbpppbp,b,53.17,b,64.55,-
bppppbbbbb,b,53.15,p,53.77,-
bpbbpppppp,b,53.12,b,88.04,83.3
bpbpbbppbp,b,53.12,b,61.74,-
bppbpbbpbp,b,53.12,b,66.07,-
pbpbpbpbpb,b,53.12,b,62.52,100.0
pbpbppppbp,b,53.12,b,90.78,0.0
pbbpbpbbpp,b,53.1,p,69.08,40.0
pbbpppbbpb,b,53.08,b,60.94,-
bpbbpbbpbp,b,53.06,p,53.45,-
bpppbbbbpb,b,53.06,p,55.93,60.0
bppbppppbb,b,53.04,b,85.4,-
pbpppppbpp,p,53.01,p,85.51,-
bppbppbbbb,b,52.99,b,58.61,-
bppbpppbbb,p,52.99,p,58.64,-
pbbbpbbbbb,p,52.99,p,65.93,100.0
pbbppppbpp,p,52.99,p,50.4,-
pbpbbpbppp,p,52.99,b,78.75,-
bpbpbppbpb,b,52.94,p,62.4,0.0
bppbbppppb,p,52.94,b,65.98,-
pbbppbppbb,b,52.88,p,68.03,50.0
bppbppbppp,b,52.87,b,72.56,0.0
bppbpbbpbb,b,52.85,p,57.91,-
bpppbbpppb,p,52.83,p,70.46,-
bppppbbppp,b,52.83,b,79.21,50.0
pbbbppbbpp,p,52.83,b,68.84,71.4
bppbpppbpb,p,52.81,p,77.62,0.0
pbbbpbbbpb,p,52.8,b,69.38,-
pbbpbppbbp,p,52.8,p,76.6,-
bpbppbbppp,b,52.78,p,72.4,33.3
pbpbbbbpbp,b,52.78,b,71.86,-
pbbpbppbbb,p,52.76,b,55.71,-
bpbpbppppb,b,52.73,b,57.97,-
bpppppbppb,b,52.69,b,55.37,66.7
pbpbbppppp,b,52.69,b,76.49,100.0
bpbbppbpbb,p,52.68,p,82.36,-
pbpbbppppb,b,52.68,b,58.79,-
pbpbppbbpb,p,52.67,b,70.98,-
bpbpppbbbp,b,52.63,p,52.13,33.3
pbbbpbbppp,b,52.63,b,51.83,25.0
bpbpbbbbbb,b,52.59,p,70.19,-
bpbppbbpbb,b,52.59,b,81.14,-
pbpbbpbbpp,p,52.59,p,83.21,-
pbbbbpppbp,p,52.53,p,93.46,-
pbbpppppbb,p,52.53,p,62.22,-
pbppbpbbpb,p,52.46,b,70.1,-
bpbbppbppb,b,52.43,b,54.49,-
pbbpbbppbp,p,52.43,p,51.39,100.0
bpbbbppppb,b,52.42,p,51.63,-
pbpbbppbbb,p,52.38,p,65.28,-
bpbbbbbpbb,b,52.34,p,80.73,-
bpbpbpbbpp,b,52.34,b,67.74,-
pbpppbbppp,p,52.34,p,53.14,-
bpbpbppbpp,b,52.33,p,54.63,0.0
pbpbpbppbp,b,52.33,p,62.22,-
bppbbbbbpb,b,52.29,p,89.7,-
pbbbbppppb,p,52.29,p,69.12,-
pbpppbbbbp,b,52.29,b,54.75,-
bpbpbbbbpb,b,52.25,p,58.89,-
bpppbpbbpp,b,52.25,p,52.93,-
bpbbbpbbbb,p,52.24,b,52.52,-
bppppbbppb,b,52.21,b,75.13,-
pbbbpbpbpp,b,52.21,b,60.17,-
bpbbbbpbbp,b,52.17,b,87,66.7
bppbbbpbbp,b,52.17,p,52.85,-
pbbpbbbbpb,b,52.17,b,69.47,-
pbbpbpbbbb,b,52.17,b,76.43,-
pbpbbbbbbp,b,52.14,p,57.02,-
pbppbbbbpp,b,52.14,b,61.56,-
pbbpbbbppp,b,52.13,b,55.94,57.1
pbpppbpbpb,p,52.13,b,52.69,-
bpbppppbbb,b,52.1,b,60.18,-
pbbpbbbppb,b,52.1,b,72.63,-
pbpbbpppbb,p,52.1,p,55.99,-
bppbbpbbpp,b,52.08,p,72.25,-
pbppbbbppp,p,52.08,b,56.82,100.0
pbpppppbbb,b,52.08,p,51,-
bpppbbbppp,p,52.04,p,74.7,-
bpbbppbpbp,p,52,p,62.14,-
bppbbbpppb,p,52,b,66.37,-
pbbbbppbbp,p,52,p,76.06,-
pbppppbpbb,p,52,p,74.65,-
pbbpbbbbpp,p,51.97,p,73.78,-
bpppbpbbbb,p,51.96,p,64.48,0.0
pbpppbbpbb,b,51.96,b,66.06,-
bppbbppbbb,p,51.92,p,63.43,75.0
bpbbpppppb,p,51.89,b,53.34,-
bpppbbpppp,b,51.89,p,64.89,-
pbbppbbbbb,b,51.89,b,55.81,0.0
pbbbbbbbpb,p,51.85,b,89.52,-
pbbbpppbpp,p,51.85,p,84.75,-
pbppbbpppb,b,51.85,p,69.37,-
pbbpppbbpp,b,51.82,b,60.57,-
pbpbppbpbb,p,51.82,b,59.54,-
pbppppbbbp,b,51.82,b,72.17,-
bpbbbpbppp,b,51.79,b,54.55,-
bpbpppbpbb,b,51.79,b,67.66,-
bpppbpppbp,b,51.75,p,64.81,-
bpbpbbbbpp,p,51.72,p,50.19,50.0
bppbppbpbp,p,51.72,p,68.74,-
bppbpppbbp,b,51.72,p,56.66,100.0
pbpbppppbb,b,51.72,p,54.71,-
pbbpbppbpb,p,51.69,p,55.29,0.0
pbbpbpppbb,p,51.69,b,68.63,-
pbbbbpbbbp,b,51.67,b,66.91,-
bpppbbbpbp,b,51.65,p,57.05,-
pbbbbbpppb,p,51.64,p,76.45,-
pbbbpbpbpb,b,51.64,p,67.74,-
pbpbbpbppb,p,51.64,p,79.23,-
bpppbppbbp,p,51.61,p,78.78,0.0
pbbbppbppb,p,51.56,p,68.94,-
bppbpbbbbp,p,51.55,p,60.72,-
pbppbpbpbp,p,51.55,b,58.28,100.0
bpbbpbpbpb,p,51.54,b,78.54,-
bpppppbppp,b,51.52,p,62.21,-
bpbppbpbbb,b,51.49,b,78.84,-
bppbbbbppp,b,51.49,p,73.77,50.0
pbbpbbpppp,b,51.49,p,67.62,-
pbpbpppppp,p,51.49,p,68.56,-
bppbbpbbpb,b,51.47,b,65.97,-
bppbbpbppp,p,51.46,p,60.12,0.0
bppppbpbpp,b,51.46,b,73.71,50.0
pbbpbbbbbb,p,51.46,b,50.64,0.0
bpbbbpbbpb,b,51.45,b,52.32,-
bpppppbbpp,b,51.43,b,53.85,-
pbbbpbpbbp,p,51.43,p,73.37,0.0
pbppbpbbbb,b,51.43,b,79.69,-
pbppbppppp,p,51.39,p,56.35,50.0
bpbbpppbpp,b,51.38,p,51.73,0.0
bpbppbpppb,b,51.38,p,82.39,-
pbpbbpbbbp,b,51.38,p,62.48,100.0
bpbbbbbbpp,b,51.35,p,65.64,-
bpbbbbpppb,b,51.35,p,56.75,-
bpbbbpbppb,p,51.35,p,69.94,100.0
pbbbbbpbpp,b,51.35,p,60.54,-
pbbbbpbppb,p,51.35,b,75.88,-
bpbbbpbpbb,b,51.33,p,61.49,0.0
pbbbppppbp,b,51.33,p,54.51,-
pbbpbbpbbb,b,51.3,b,67.47,0.0
bpppbpbbpb,b,51.28,b,58.59,-
bpbbbppppp,b,51.25,b,58.8,40.0
bppbbpbpbb,p,51.24,p,75.83,-
pbbbbppbpb,p,51.22,b,63.29,-
bpbbbbpbpb,p,51.2,b,80.47,100.0
bpbbpppbpb,b,51.2,b,60.16,-
pbbpbbpbpb,p,51.13,b,63.73,-
pbpbbpbbpb,p,51.13,b,61.39,-
bpbpbbbpbb,b,51.11,b,51.98,-
pbbpbbbpbb,b,51.06,p,56.79,-
pbbbbbbpbp,b,51.04,p,60.11,50.0
pbbbpbppbp,p,51.04,b,62.7,100.0
bpbpbppbbb,p,51.03,p,79.72,-
bpbpbpppbp,b,51.02,b,82.7,0.0
bpbpbbpbpb,p,51,b,60.23,80.0
bpbpbpbpbb,p,50.98,p,59.11,50.0
pbbbpppppb,b,50.98,p,51.73,-
pbbbbbpppp,b,50.96,p,56.92,-
pbbbbpppbb,p,50.96,p,62.03,-
pbpppbpbbp,b,50.96,p,68.86,-
pbpbbbpppb,b,50.94,p,57.17,50.0
pbpbbppbpb,b,50.94,p,55.77,-
bpbppppbpb,p,50.93,p,55.79,0.0
bpbpppppbb,b,50.93,b,64.04,-
bppbbppbpp,b,50.93,b,52.77,100.0
bppbpppbpp,p,50.93,b,68.17,-
bpbppbbbpp,p,50.89,b,71.21,50.0
pbbbpbpbbb,p,50.89,p,61.6,-
pbbppbbbbp,b,50.89,p,67.35,-
bpppbpbpbp,b,50.88,b,54.95,-
bppbpbbbpp,p,50.86,b,73.46,-
bppbpbppbp,p,50.86,p,57.67,-
bpbbbpppbb,p,50.85,p,51.28,-
bpbbpbbppp,p,50.85,p,60.25,-
bpbpbbbppb,p,50.85,p,66.55,-
bpppbbbppb,b,50.83,p,59.08,-
