run_id,grid_string_id,step,window_size,prefix,confidence,predicted,actual,is_correct,sim_win_rate_pct
3fed7a4f-5725-4e59-abf0-008858c12588,3505,7,9,bpppbppb,50.09823182711198,b,b,1,50.0
3fed7a4f-5725-4e59-abf0-008858c12588,3505,8,9,pbppbbbp,52.95238095238095,b,p,0,46.15384615384615
3fed7a4f-5725-4e59-abf0-008858c12588,3505,9,9,bppbbbpp,50.30927835051546,b,p,0,50.0
3fed7a4f-5725-4e59-abf0-008858c12588,3505,10,9,pbbbpppp,55.18590998043052,b,p,0,47.82608695652174
3fed7a4f-5725-4e59-abf0-008858c12588,3505,11,9,bppppppb,50.30927835051546,b,b,1,41.666666666666664
3fed7a4f-5725-4e59-abf0-008858c12588,3505,12,9,pbbpbbpb,50.07898894154819,p,b,0,56.0
3fed7a4f-5725-4e59-abf0-008858c12588,3505,13,9,bpbbpbbb,52.88966725043783,b,b,1,36.36363636363637
3fed7a4f-5725-4e59-abf0-008858c12588,3505,14,9,pbbpbbbb,55.97920277296361,p,p,1,42.42424242424242
3fed7a4f-5725-4e59-abf0-008858c12588,3505,15,9,bpbbbbpp,51.23809523809524,b,b,1,40.54054054054054
3fed7a4f-5725-4e59-abf0-008858c12588,3505,18,9,pbppbbpb,52.33968804159446,p,b,0,45.833333333333336
3fed7a4f-5725-4e59-abf0-008858c12588,3505,19,9,bppbbpbb,50.08849557522124,p,b,0,45.16129032258065
3fed7a4f-5725-4e59-abf0-008858c12588,3505,20,9,pbbpbbbb,55.97920277296361,p,b,0,42.42424242424242
3fed7a4f-5725-4e59-abf0-008858c12588,3506,2,9,bpbbbbpp,51.23809523809524,b,b,1,40.54054054054054
3fed7a4f-5725-4e59-abf0-008858c12588,3506,5,9,pbpbbpbb,51.393728222996515,p,p,1,39.02439024390244
3fed7a4f-5725-4e59-abf0-008858c12588,3506,7,9,pbbpbbpb,50.07898894154819,p,b,0,56.0
3fed7a4f-5725-4e59-abf0-008858c12588,3506,8,9,bpbbpbbb,52.88966725043783,b,p,0,36.36363636363637
3fed7a4f-5725-4e59-abf0-008858c12588,3506,9,9,pbbpbbbp,51.77304964539007,b,b,1,43.24324324324324
3fed7a4f-5725-4e59-abf0-008858c12588,3506,10,9,bpbbbpbb,50.23474178403756,b,p,0,44.44444444444444
3fed7a4f-5725-4e59-abf0-008858c12588,3506,11,9,pbbbpbbp,51.58597662771286,b,b,1,52.54237288135593
3fed7a4f-5725-4e59-abf0-008858c12588,3506,12,9,bpbbpbbb,52.88966725043783,b,p,0,36.36363636363637
3fed7a4f-5725-4e59-abf0-008858c12588,3506,13,9,pbbpbbbp,51.77304964539007,b,p,0,43.24324324324324
3fed7a4f-5725-4e59-abf0-008858c12588,3506,14,9,bpbbbppb,51.64075993091537,p,b,0,40.90909090909091
3fed7a4f-5725-4e59-abf0-008858c12588,3506,15,9,pbbbppbb,53.32068311195446,b,p,0,41.935483870967744
3fed7a4f-5725-4e59-abf0-008858c12588,3506,16,9,bppbbpbb,50.08849557522124,p,p,1,45.16129032258065
3fed7a4f-5725-4e59-abf0-008858c12588,3506,17,9,pbbpbbpb,50.07898894154819,p,p,1,56.0
3fed7a4f-5725-4e59-abf0-008858c12588,3506,18,9,bpbbpbpb,52.961672473867594,p,p,1,48.148148148148145
3fed7a4f-5725-4e59-abf0-008858c12588,3506,19,9,pbbpbpbp,51.02739726027398,p,p,1,30.76923076923077
3fed7a4f-5725-4e59-abf0-008858c12588,3506,20,9,bpbpbppp,51.01289134438306,b,p,0,58.18181818181818
3fed7a4f-5725-4e59-abf0-008858c12588,3506,22,9,bpbppppp,51.656920077972714,b,b,1,42.857142857142854
3fed7a4f-5725-4e59-abf0-008858c12588,3506,23,9,pbpppppb,50.39840637450199,p,b,0,62.5
3fed7a4f-5725-4e59-abf0-008858c12588,3506,24,9,bpppppbb,52.26824457593688,p,p,1,48.148148148148145
3fed7a4f-5725-4e59-abf0-008858c12588,3506,25,9,pbbpbpbb,52.54833040421792,b,b,1,56.09756097560975
3fed7a4f-5725-4e59-abf0-008858c12588,3506,28,9,bpbbbbpb,50.0,p,p,1,59.57446808510638
3fed7a4f-5725-4e59-abf0-008858c12588,3506,29,9,pbbbbpbp,51.59574468085106,p,b,0,46.42857142857143
3fed7a4f-5725-4e59-abf0-008858c12588,3508,1,9,bpbbppbp,51.11940298507462,b,b,1,45.16129032258065
3fed7a4f-5725-4e59-abf0-008858c12588,3508,2,9,pbbppbpb,51.438848920863315,b,p,0,37.83783783783784
